NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT00019890,Vaccine Therapy in Treating Patients With High-Risk Stage III or Completely Resected Metastatic Melanoma,https://clinicaltrials.gov/study/NCT00019890,COMPLETED,Stage IV Melanoma|Stage III Melanoma|Recurrent Melanoma,DRUG: dendritic cell-gp100-MART-1 antigen vaccine|DRUG: sargramostim,National Cancer Institute (NCI),,INTERVENTIONAL,2007-03
NCT00266110,"Vaccine Therapy, Trastuzumab, and Vinorelbine in Treating Patients With Locally Recurrent or Metastatic Breast Cancer",https://clinicaltrials.gov/study/NCT00266110,COMPLETED,Breast Cancer,BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic autologous dendritic cells|BIOLOGICAL: trastuzumab|DRUG: vinorelbine ditartrate,UNC Lineberger Comprehensive Cancer Center,National Cancer Institute (NCI)|Susan G. Komen Breast Cancer Foundation,INTERVENTIONAL,2017-10-27
NCT04789252,Heterogeneity of Dendritic Cells in Colon and Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT04789252,RECRUITING,Non-small Cell Lung Cancer,BIOLOGICAL: Bioinformatics analysis of single cell transcriptomics data,University of Milano Bicocca,,OBSERVATIONAL,2026-02-09
NCT01347034,Radiation Therapy and Intratumoral Autologous Dendritic Cells in Soft Tissue Sarcomas (STS),https://clinicaltrials.gov/study/NCT01347034,COMPLETED,Soft Tissue Sarcoma,PROCEDURE: External Beam Radiation Therapy (RT)|BIOLOGICAL: Autologous Dendritic Cells,H. Lee Moffitt Cancer Center and Research Institute,University of Florida,INTERVENTIONAL,2016-04
NCT03325101,Dendritic Cell Therapy After Cryosurgery in Combination With Pembrolizumab in Treating Patients With Stage III-IV Melanoma That Cannot Be Remove by Surgery,https://clinicaltrials.gov/study/NCT03325101,COMPLETED,Stage III Cutaneous Melanoma AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7,PROCEDURE: Cryosurgery|BIOLOGICAL: Pembrolizumab|PROCEDURE: Pheresis|BIOLOGICAL: Therapeutic Autologous Dendritic Cells,Mayo Clinic,,INTERVENTIONAL,2020-06-14
NCT00049218,Chemotherapy Followed By Vaccine Therapy in Treating Patients With Extensive-Stage Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00049218,COMPLETED,Lung Cancer,BIOLOGICAL: Autologous dendritic cell-adenovirus p53 vaccine|DRUG: Carboplatin|DRUG: Etoposide,H. Lee Moffitt Cancer Center and Research Institute,,INTERVENTIONAL,2014-05
NCT01792505,Dendritic Cell Vaccine With Imiquimod for Patients With Malignant Glioma,https://clinicaltrials.gov/study/NCT01792505,COMPLETED,Malignant Glioma,BIOLOGICAL: Dendritic Cell Vaccine in combination with Imiquimod cream,Cedars-Sinai Medical Center,,INTERVENTIONAL,2016-10
NCT04201873,Pembrolizumab and a Vaccine (ATL-DC) for the Treatment of Surgically Accessible Recurrent Glioblastoma,https://clinicaltrials.gov/study/NCT04201873,RECRUITING,Recurrent Glioblastoma,BIOLOGICAL: Dendritic Cell Tumor Cell Lysate Vaccine|BIOLOGICAL: Pembrolizumab|OTHER: Placebo Administration|DRUG: Poly ICLC,Jonsson Comprehensive Cancer Center,"National Cancer Institute (NCI)|Merck Sharp & Dohme LLC|Phase One Foundation|Oncovir, Inc.",INTERVENTIONAL,2026-08-01
NCT00405327,A Pilot Study of Tumor Cell Vaccine for High-risk Solid Tumor Patients Following Stem Cell Transplantation,https://clinicaltrials.gov/study/NCT00405327,COMPLETED,Sarcoma|Neuroblastoma|Wilm's Tumor,BIOLOGICAL: Tumor lysate-pulsed dendritic cell (DC) vaccine|OTHER: Hematopoietic stem cell transplantation (HSCT),University of Michigan Rogel Cancer Center,,INTERVENTIONAL,2010-06
NCT05251870,Tolerogenic Dendritic Cell Therapy for Rheumatoid Arthritis,https://clinicaltrials.gov/study/NCT05251870,RECRUITING,Rheumatoid Arthritis,DRUG: autologous mature tolerogenic monocyte-derived Dendritic Cells loaded with the B29 peptide of HSP70,UMC Utrecht,Radboud University Medical Center|Utrecht University|Trajectum Pharma B.V.|Dutch Arthritis Association|ZonMw: The Netherlands Organisation for Health Research and Development|Health Holland,INTERVENTIONAL,2025-08
NCT00124124,Comparison of Dendritic Cells Versus Montanide as Adjuvants in a Melanoma Vaccine,https://clinicaltrials.gov/study/NCT00124124,COMPLETED,Melanoma,"DRUG: KLH; Peptides; Dendritic Cells|DRUG: KLH, peptides plus Montanide",Dr. Nina Bhardwaj,"Cancer Research Institute, New York City",INTERVENTIONAL,2009-04
NCT00313235,Combined Modality Treatment for Patients With Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00313235,COMPLETED,Malignant Melanoma Stage IV,BIOLOGICAL: DC Vaccine and Cyclophosphamide,Baylor Research Institute,,INTERVENTIONAL,2012-06
NCT00085488,Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00085488,COMPLETED,Melanoma (Skin),BIOLOGICAL: autologous tumor cell vaccine|BIOLOGICAL: therapeutic autologous dendritic cells,Dartmouth-Hitchcock Medical Center,National Cancer Institute (NCI),INTERVENTIONAL,2006-02
NCT02728102,Dendritic Cell/Myeloma Fusion Vaccine for Multiple Myeloma (BMT CTN 1401),https://clinicaltrials.gov/study/NCT02728102,COMPLETED,Multiple Myeloma,PROCEDURE: Tumor Cell Collection|PROCEDURE: Autologous Stem Cell Transplant|DRUG: Melphalan|PROCEDURE: Leukapheresis|BIOLOGICAL: Myeloma vaccine|DRUG: GM-CSF|DRUG: Lenalidomide,"National Heart, Lung, and Blood Institute (NHLBI)",Blood and Marrow Transplant Clinical Trials Network|National Cancer Institute (NCI)|National Marrow Donor Program,INTERVENTIONAL,2022-12-09
NCT01795573,Ex-vivo Expanded Donor Regulatory T Cells for Prevention of Acute Graft-Versus-Host Disease,https://clinicaltrials.gov/study/NCT01795573,COMPLETED,Graft Versus Host Disease,BIOLOGICAL: Cultured Treg cells,H. Lee Moffitt Cancer Center and Research Institute,,INTERVENTIONAL,2020-08-14
NCT00442754,Dendritic Cells in Lung Cancer,https://clinicaltrials.gov/study/NCT00442754,COMPLETED,Non Small Cell Lung Cancer,BIOLOGICAL: Allogeneic Tumour Lysate (MelCancerVac),Herlev Hospital,University of Copenhagen,INTERVENTIONAL,2009-11
NCT03610360,DENdritic Cell Immunotherapy for Mesothelioma,https://clinicaltrials.gov/study/NCT03610360,COMPLETED,Mesothelioma,DRUG: MesoPher,Amphera BV,TMC Pharma,INTERVENTIONAL,2022-06-30
NCT02919644,Vaccination with Autologous Dendritic Cells Loaded with Autologous Tumour Homogenate After Curative Resection for Stage IV Colorectal Cancer.,https://clinicaltrials.gov/study/NCT02919644,RECRUITING,Stage IV Colorectal Cancer|Curative Resection,BIOLOGICAL: autologous dendritic cells loaded with autologous tumour homogenate|DRUG: IL2,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,,INTERVENTIONAL,2031-12
NCT00910650,Study of Gene Modified Immune Cells in Patients With Advanced Melanoma,https://clinicaltrials.gov/study/NCT00910650,COMPLETED,Metastatic Melanoma,BIOLOGICAL: F5 TCR transgenic cells and MART-1 peptide pulsed dendritic cells|DRUG: non-myeloablative conditioning chemotherapy,Jonsson Comprehensive Cancer Center,California Institute of Technology|University of Southern California|University of Connecticut|National Cancer Institute (NCI),INTERVENTIONAL,2019-05-30
NCT00978913,Transfected Dendritic Cell Based Therapy for Patients With Breast Cancer or Malignant Melanoma,https://clinicaltrials.gov/study/NCT00978913,COMPLETED,Breast Cancer|Malignant Melanoma,BIOLOGICAL: DC vaccine,Inge Marie Svane,,INTERVENTIONAL,2014-05
NCT02677155,Sequential Intranodal Immunotherapy (SIIT) Combined With Anti-PD1 (Pembrolizumab) in Follicular Lymphoma,https://clinicaltrials.gov/study/NCT02677155,COMPLETED,Follicular Lymphoma,RADIATION: Radiotherapy|BIOLOGICAL: Rituximab|BIOLOGICAL: Autologous dendritic cells|BIOLOGICAL: GM-CSF|BIOLOGICAL: Pembrolizumab,Oslo University Hospital,Norwegian Cancer Society|Merck Sharp & Dohme LLC,INTERVENTIONAL,2021-02
NCT05765084,Integration of the PD-L1 Inhibitor Atezolizumab and WT1/DC Vaccination Into Platinum/Pemetrexed-based First-line Treatment for Epithelioid Malignant Pleural Mesothelioma,https://clinicaltrials.gov/study/NCT05765084,RECRUITING,Malignant Pleural Mesothelioma,BIOLOGICAL: Dendritic cell vaccination|DRUG: Atezolizumab|DRUG: Platinum/pemetrexed based chemotherapy,"University Hospital, Antwerp",Algemeen Ziekenhuis Maria Middelares|Vitaz|Kom Op Tegen Kanker|Roche Pharma AG,INTERVENTIONAL,2026-10
NCT01803152,Dendritic Cell Vaccine for Children and Adults With Sarcoma,https://clinicaltrials.gov/study/NCT01803152,COMPLETED,Sarcoma|Soft Tissue Sarcoma|Bone Sarcoma,BIOLOGICAL: Dendritic Cells Vaccine|BIOLOGICAL: Lysate of Tumor|DRUG: Gemcitabine|DRUG: Imiquimod|PROCEDURE: Leukapheresis,"Macarena De La Fuente, MD",,INTERVENTIONAL,2024-06-21
NCT00313508,Dendritic Cell Vaccination During Lymphoid Reconstruction,https://clinicaltrials.gov/study/NCT00313508,COMPLETED,Intraocular Melanoma|Melanoma (Skin),BIOLOGICAL: Autologous Dendritic Cells (DC)|DRUG: Fludarabine|BIOLOGICAL: Autologous Lymphocyte Infusion (ALI),H. Lee Moffitt Cancer Center and Research Institute,National Cancer Institute (NCI),INTERVENTIONAL,2012-03
NCT00672542,Immunotherapy of Melanoma With Tumor Antigen RNA and Small Inhibitory RNA Transfected Autologous Dendritic Cells,https://clinicaltrials.gov/study/NCT00672542,COMPLETED,Metastatic Melanoma|Absence of CNS Metastases,BIOLOGICAL: Proteasome siRNA and tumor antigen RNA-transfected dendritic cells,Scott Pruitt,,INTERVENTIONAL,2013-07
NCT01983748,Dendritic Cells Plus Autologous Tumor RNA in Uveal Melanoma,https://clinicaltrials.gov/study/NCT01983748,ACTIVE_NOT_RECRUITING,Uveal Melanoma,BIOLOGICAL: Autologous Dendritic Cells loaded with autologous Tumor RNA,University Hospital Erlangen,"University Hospital Lübeck|University Hospital Munich|Universitätsklinikum Hamburg-Eppendorf|University Hospital Homburg/Saar|Universitätsklinikum Köln|University Hospital Tuebingen|University Hospital, Essen|Wuerzburg University Hospital",INTERVENTIONAL,2023-12
NCT03092453,Dendritic Cell Vaccination in Patients With Advanced Melanoma,https://clinicaltrials.gov/study/NCT03092453,ACTIVE_NOT_RECRUITING,Melanoma,BIOLOGICAL: Mature dendritic cell (DC) vaccine|DRUG: Cyclophosphamide 300mg/m^2|DRUG: Pembrolizumab,University of Pennsylvania,,INTERVENTIONAL,2023-05
NCT00103142,Vaccine Therapy in Treating Patients With Liver or Lung Metastases From Colorectal Cancer,https://clinicaltrials.gov/study/NCT00103142,COMPLETED,Colorectal Cancer|Metastatic Cancer,BIOLOGICAL: falimarev|BIOLOGICAL: inalimarev|BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic autologous dendritic cells,"Michael Morse, MD",National Cancer Institute (NCI),INTERVENTIONAL,2013-03
NCT02107391,Phase II Study of DCVAC/PCa Added to Hormone Therapy for Men With Metastatic Prostate Cancer,https://clinicaltrials.gov/study/NCT02107391,COMPLETED,Prostate Cancer,BIOLOGICAL: Dendritic Cells DCVAC/PCa|DRUG: Leuprolide acetate|DRUG: Goserelin Acetate,SOTIO a.s.,,INTERVENTIONAL,2016-06
NCT05955157,Combined S-1 With DC+CIK As Maintenance Therapy For Advanced Pancreatic Ductal Adenocarcinoma,https://clinicaltrials.gov/study/NCT05955157,RECRUITING,Pancreatic Ductal Adenocarcinoma|Advanced Solid Tumor,BIOLOGICAL: Dendritic cell + Cytokine-induced killer cell (DC+CIK) immunotherapy|DRUG: Tegafur Only Product,University of Malaya,,INTERVENTIONAL,2025-06
NCT00436930,Vaccine Therapy and GM-CSF in Treating Patients With Recurrent or Metastatic Melanoma,https://clinicaltrials.gov/study/NCT00436930,COMPLETED,Melanoma (Skin),BIOLOGICAL: autologous tumor cell vaccine|BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic autologous dendritic cells,Hoag Memorial Hospital Presbyterian,,INTERVENTIONAL,2012-10
NCT00510497,Autologous Dendritic Cell Vaccine in HIV1 Infection,https://clinicaltrials.gov/study/NCT00510497,COMPLETED,HIV Infections,BIOLOGICAL: Autologous HIV-1 ApB DC Vaccine,Sharon Riddler,National Institute of Allergy and Infectious Diseases (NIAID),INTERVENTIONAL,2012-09
NCT03679650,Dendritic Cell/AML Fusion Cell Vaccine Following Allogeneic Transplantation in AML Patients,https://clinicaltrials.gov/study/NCT03679650,RECRUITING,Acute Myelogenous Leukemia,DRUG: decitabine|BIOLOGICAL: DC/AML fusion cells,Beth Israel Deaconess Medical Center,National Cancer Institute (NCI)|Dana-Farber Cancer Institute,INTERVENTIONAL,2026-08-31
NCT00612001,Vaccine Therapy in Treating Patients With Malignant Glioma,https://clinicaltrials.gov/study/NCT00612001,COMPLETED,Brain and Central Nervous System Tumors,BIOLOGICAL: glioma-associated antigen peptide-pulsed autologous dendritic cell vaccine,Jonsson Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,2012-10
NCT01587690,Immune Regulation in Multiple Sclerosis: MicroRNA and Antigen-Presenting Cells,https://clinicaltrials.gov/study/NCT01587690,COMPLETED,Multiple Sclerosis,,"Rutgers, The State University of New Jersey",,OBSERVATIONAL,2013-01
NCT00053391,Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00053391,COMPLETED,Melanoma (Skin),BIOLOGICAL: recombinant CD40-ligand|BIOLOGICAL: therapeutic autologous dendritic cells,University Hospital Erlangen,,INTERVENTIONAL,2007-06
NCT05786937,Therapeutic Vaccine Based on aDC1 Dendritic Cells for the Control of Viremia After ATI in HIV Infected Individuals,https://clinicaltrials.gov/study/NCT05786937,NOT_YET_RECRUITING,HIV Vaccine,BIOLOGICAL: Alpha-type-1 Polarizing Dendritic Cells (aDC1) unpulsed with HIV peptides|BIOLOGICAL: Alpha-type-1 Polarizing Dendritic Cells (aDC1) pulsed with HIV peptides|OTHER: Commercial ringer´s lactate solution,University of Sao Paulo General Hospital,,INTERVENTIONAL,2023-12
NCT04530318,Dendritic Cells Therapy Combined With Immunomodulatory Treatment in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04530318,RECRUITING,Relapsing-Remitting Multiple Sclerosis,OTHER: Autologous peripheral blood differentiated adult tolerogenic dendritic cells expanded|OTHER: Placebo,Judit Pich,,INTERVENTIONAL,2025-06
NCT01635283,Vaccine for Patients With Newly Diagnosed or Recurrent Low-Grade Glioma,https://clinicaltrials.gov/study/NCT01635283,COMPLETED,Adult Diffuse Astrocytoma|Adult Mixed Glioma|Adult Oligodendroglioma|Recurrent Adult Brain Tumor|Adult Oligoastrocytoma,BIOLOGICAL: tumor lysate-pulsed autologous dendritic cell vaccine|OTHER: laboratory biomarker analysis,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,2016-05-13
NCT00019929,Vaccine Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00019929,COMPLETED,Lung Cancer,BIOLOGICAL: mutant p53 peptide pulsed dendritic cell vaccine|PROCEDURE: adjuvant therapy,National Cancer Institute (NCI),,INTERVENTIONAL,2005-12
NCT06036355,The Exploratory Study on the Biological Function of Dendritic Cells In Vivo Supported by Nicotinamide Mononucleotide (Vital NAD),https://clinicaltrials.gov/study/NCT06036355,NOT_YET_RECRUITING,Postoperative Prevention of Tumor,DRUG: Oral NMN combined with DC cell vaccine,"Shanghai Cell Therapy Group Co.,Ltd",,INTERVENTIONAL,2024-12-30
NCT00476177,Donor Dendritic Cells And Donor Lymphocytes in Patients With Relapsed Hematologic Malignancies After Allogeneic Transplant,https://clinicaltrials.gov/study/NCT00476177,COMPLETED,Hematologic Malignancy,BIOLOGICAL: Infusion of donor dendritic cells|BIOLOGICAL: Infusion of donor lymphocytes,Dana-Farber Cancer Institute,Brigham and Women's Hospital|Beth Israel Deaconess Medical Center|National Cancer Institute (NCI),INTERVENTIONAL,2009-07
NCT04299724,Safety and Immunity of Covid-19 aAPC Vaccine,https://clinicaltrials.gov/study/NCT04299724,RECRUITING,Treat and Prevent Covid-19 Infection,BIOLOGICAL: Pathogen-specific aAPC,Shenzhen Geno-Immune Medical Institute,Shenzhen Third People's Hospital|Shenzhen Second People's Hospital,INTERVENTIONAL,2024-12-31
NCT01568944,Role of Infected Blood Dendritic Cells in Heart Disease Risk,https://clinicaltrials.gov/study/NCT01568944,COMPLETED,Chronic Periodontitis,DRUG: Oral Antibiotic and Oral Rinse|PROCEDURE: Standard Treatment,Augusta University,National Institute of Dental and Craniofacial Research (NIDCR),INTERVENTIONAL,2014-09
NCT00338377,Lymphodepletion Plus Adoptive Cell Transfer with or Without Dendritic Cell Immunization in Patients with Metastatic Melanoma,https://clinicaltrials.gov/study/NCT00338377,ACTIVE_NOT_RECRUITING,Melanoma,BIOLOGICAL: Dendritic Cell Immunization|DRUG: Cyclophosphamide|DRUG: Fludarabine|BIOLOGICAL: T-Cells|BIOLOGICAL: Interleukin-2|DRUG: Mesna|BIOLOGICAL: Intrathecal T-Cells|BIOLOGICAL: Intrathecal Interleukin-2,M.D. Anderson Cancer Center,"Prometheus Laboratories|Key Biologics, LLC|National Cancer Institute (NCI)|Adelson Medical Research",INTERVENTIONAL,2030-02-28
NCT00023985,Vaccine Therapy in Treating Patients With Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00023985,COMPLETED,Lung Cancer,BIOLOGICAL: autologous tumor cell vaccine|BIOLOGICAL: therapeutic autologous dendritic cells|PROCEDURE: conventional surgery,Roswell Park Cancer Institute,,INTERVENTIONAL,2003-08
NCT01730118,Ad/HER2/Neu Dendritic Cell Cancer Vaccine Testing,https://clinicaltrials.gov/study/NCT01730118,COMPLETED,Breast Neoplasms|Breast Cancer|Adenocarcinomas|Metastatic Solid Tumors Characterized by HER2/Neu Expression,BIOLOGICAL: Adenoviral Transduced Autologous Human Epidermal Growth Factor Receptor (AdHER)2/neu Dendritic Cell (DC) Vaccine,National Cancer Institute (NCI),,INTERVENTIONAL,2019-12-03
NCT02083393,Changes of Dendritic Cells in Acute Lung Injury,https://clinicaltrials.gov/study/NCT02083393,COMPLETED,Acute Lung Injury,,"Southeast University, China",,OBSERVATIONAL,2014-12
NCT06435910,Engineered Dendritic Cell Vaccines for Multiple Myeloma,https://clinicaltrials.gov/study/NCT06435910,RECRUITING,Multiple Myeloma or Plasmacytoma,BIOLOGICAL: DC vaccines,Shenzhen Geno-Immune Medical Institute,The No.2 Clinical Hospital of the Ministry of Health,INTERVENTIONAL,2027-12-31
NCT02993315,Melanoma Patients Immunized With Natural DenDritic Cells,https://clinicaltrials.gov/study/NCT02993315,ACTIVE_NOT_RECRUITING,Melanoma (Skin),BIOLOGICAL: nDC vaccination|BIOLOGICAL: placebo injection,Radboud University Medical Center,Dutch National Health Care Institute|ZonMw: The Netherlands Organisation for Health Research and Development,INTERVENTIONAL,2024-12
NCT00740896,Acute Effects of Smoking on Airway Dendritic Cells,https://clinicaltrials.gov/study/NCT00740896,COMPLETED,Tobacco Use Disorder,BEHAVIORAL: Smoking|BEHAVIORAL: Smoking,University of Rostock,German Research Foundation,INTERVENTIONAL,2008-12
NCT01935635,A Clinical Trial on HB-Vac Activated-DCs Combined With Peg-IFN or NAs in CHB,https://clinicaltrials.gov/study/NCT01935635,COMPLETED,Chronic Hepatitis B,BIOLOGICAL: HPDCs-T immune therapy,"Third Affiliated Hospital, Sun Yat-Sen University",Ruijin Hospital|Second People's Hospital of Yunnan Province,INTERVENTIONAL,2019-12
NCT05127824,Autologous Dendritic Cell Vaccine in Kidney Cancer,https://clinicaltrials.gov/study/NCT05127824,RECRUITING,"Carcinoma, Renal Cell",BIOLOGICAL: Autologous alpha-DC1/TBVA vaccine|DRUG: Cabozantinib,Jodi Maranchie,,INTERVENTIONAL,2026-12
NCT06006403,Safety and Efficacy of CD123-targeted CAR-NK for Relapsed/Refractory Acute Myeloid Leukemia or Blastic Plasmacytoid Dendritic Cell Neoplasm,https://clinicaltrials.gov/study/NCT06006403,RECRUITING,Acute Myeloid Leukemia|Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)|Relapse Leukemia|Refractory Leukemia,BIOLOGICAL: CD123 targeted CAR-NK cells,"Chongqing Precision Biotech Co., Ltd",Shanxi Bethune Hospital,INTERVENTIONAL,2026-08-31
NCT01352858,Autologous Tolerogenic Dendritic Cells for Rheumatoid Arthritis (AutoDECRA),https://clinicaltrials.gov/study/NCT01352858,COMPLETED,Rheumatoid Arthritis,DRUG: TolDC|DRUG: Arthroscopy & saline irrigation alone,Newcastle University,Arthritis Research UK|Newcastle-upon-Tyne Hospitals NHS Trust,INTERVENTIONAL,2018-11
NCT04690387,"Dendritic Cell Vaccine, AV-COVID-19, to Prevent COVID-19 Infection",https://clinicaltrials.gov/study/NCT04690387,COMPLETED,COVID-19,BIOLOGICAL: AV-COVID-19|OTHER: GM-CSF,"Aivita Biomedical, Inc.","PT AIVITA Biomedika Indonesia|Indonesia Ministry of Health|National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",INTERVENTIONAL,2021-01-15
NCT01690377,Natural Dendritic Cell Vaccines in Metastatic Melanoma Patients,https://clinicaltrials.gov/study/NCT01690377,COMPLETED,Melanoma,BIOLOGICAL: PDC or myDC,Radboud University Medical Center,,INTERVENTIONAL,2014-11
NCT01974661,Phase I Safety Study of Dendritic Cell Vaccine to Treat Patients With Hepatocellular Carcinoma,https://clinicaltrials.gov/study/NCT01974661,COMPLETED,Hepatocellular Carcinoma,BIOLOGICAL: COMBIG-DC (ilixadencel),Mendus,Uppsala University,INTERVENTIONAL,2017-06-28
NCT02496520,Dendritic Cell-based Immunotherapy for Advanced Solid Tumours of Children and Young Adults,https://clinicaltrials.gov/study/NCT02496520,COMPLETED,Sarcoma|Central Nervous System Tumor,BIOLOGICAL: dendritic cells|PROCEDURE: Surgery as needed by the patient´s tumor and stage|DRUG: Chemotherapy as needed by the patient´s tumor and stage|RADIATION: Radiation therapy as needed by the patient´s tumor and stage,"Clinica Universidad de Navarra, Universidad de Navarra",,INTERVENTIONAL,2019-05-27
NCT01239875,"Vaccine Therapy With or Without Cryosurgery in Treating Patients With Residual, Relapsed, or Refractory B-Cell Non-Hodgkin Lymphoma",https://clinicaltrials.gov/study/NCT01239875,COMPLETED,Cutaneous B-cell Non-Hodgkin Lymphoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Nodal Marginal Zone B-cell Lymphoma|Adult Diffuse Mixed Cell Lymphoma|Adult Diffuse Small Cleaved Cell Lymphoma|Adult Grade III Lymphomatoid Granulomatosis|Adult Immunoblastic Large Cell Lymphoma|Adult Lymphoblastic Lymphoma|Grade 1 Follicular Lymphoma|Grade 2 Follicular Lymphoma|Grade 3 Follicular Lymphoma|Mantle Cell Lymphoma|Marginal Zone Lymphoma|Small Lymphocytic Lymphoma|Splenic Marginal Zone Lymphoma|Waldenstrom Macroglobulinemia With Nodal Disease,BIOLOGICAL: dendritic cell vaccine therapy|PROCEDURE: cryotherapy|BIOLOGICAL: pneumococcal polyvalent vaccine|OTHER: laboratory biomarker analysis|OTHER: immunoenzyme technique|OTHER: immunohistochemistry staining method|BIOLOGICAL: autologous dendritic cell-tumor fusion vaccine,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL,2019-07-17
NCT02010606,Phase I Study of a Dendritic Cell Vaccine for Patients With Either Newly Diagnosed or Recurrent Glioblastoma,https://clinicaltrials.gov/study/NCT02010606,COMPLETED,Glioblastoma|Glioblastoma Multiforme|Glioma|Astrocytoma|Brain Tumor,"BIOLOGICAL: Dendritic cell vaccination, in addition to standard temozolomide chemotherapy and involved field radiation therapy|BIOLOGICAL: Dendritic cell vaccination, with optional bevacizumab treatment for patients previously treated with bevacizumab",Cedars-Sinai Medical Center,,INTERVENTIONAL,2021-07-10
NCT00001566,A Pilot Study of Autologous T-Cell Transplantation With Vaccine Driven Expansion of Anti-Tumor Effectors After Cytoreductive Therapy in Metastatic Pediatric Sarcomas,https://clinicaltrials.gov/study/NCT00001566,COMPLETED,Ewing's Sarcoma|Rhabdomyosarcoma,BIOLOGICAL: therapeutic autologous dendritic cells|DRUG: indinavir sulfate|PROCEDURE: peripheral blood stem cell transplantation,National Cancer Institute (NCI),,INTERVENTIONAL,2008-09
NCT00087984,RNA-Loaded Dendritic Cell Cancer Vaccine,https://clinicaltrials.gov/study/NCT00087984,COMPLETED,Renal Cell Carcinoma,BIOLOGICAL: MB-002,Argos Therapeutics,,INTERVENTIONAL,2008-09
NCT04135391,Aerobic Trainings on Stroke Patients,https://clinicaltrials.gov/study/NCT04135391,COMPLETED,"Stroke, Cardiovascular",BEHAVIORAL: Aerobic exercise training,Chang Gung Memorial Hospital,,INTERVENTIONAL,2018-06-30
NCT02961829,Multi Interventional Study Exploring HIV-1 Residual Replication: a Step Towards HIV-1 Eradication and Sterilizing Cure,https://clinicaltrials.gov/study/NCT02961829,COMPLETED,Chronic Infection|HIV,DRUG: Maraviroc|DRUG: Dolutegravir|BIOLOGICAL: Dendritic Cell Vaccine|DRUG: Auranofin|DRUG: Sirtuin Histone deacetylase inhibitor,Federal University of São Paulo,Fundação de Amparo à Pesquisa do Estado de São Paulo|Conselho Nacional de Desenvolvimento Científico e Tecnológico|ViiV Healthcare,INTERVENTIONAL,2020-03
NCT01871467,Sargramostim for Myeloid Dendritic Cell Deficiency,https://clinicaltrials.gov/study/NCT01871467,COMPLETED,Dendritic Cell Deficiency,DRUG: Sargramostim,Johns Hopkins University,,INTERVENTIONAL,2014-06
NCT01711593,Induced Tolerogenic Dendritic Cells as Modulators of Allergic Asthma,https://clinicaltrials.gov/study/NCT01711593,COMPLETED,Asthma|Allergies,"BIOLOGICAL: Bronchoscopy, Segmental Allergen Challenge and Bronchoalveolar Lavage|PROCEDURE: Phlebotomy","Andrew D. Luster, M.D.,Ph.D.",National Institute of Allergy and Infectious Diseases (NIAID),INTERVENTIONAL,2016-09
NCT01213407,Dendritic Cell Cancer Vaccine for High-grade Glioma,https://clinicaltrials.gov/study/NCT01213407,COMPLETED,Glioblastoma Multiforme,"DRUG: Trivax, Temozolomide, Surgery, Radiotherapy|DRUG: Temozolomide, Surgery, Radiotherapy",Activartis Biotech,,INTERVENTIONAL,2015-11
NCT05451069,"Neurofilament Light Chain ,Chitinase-3 Like-1 Proteins and Plasmacytoid Dendritic Cells in Multiple Sclerosis",https://clinicaltrials.gov/study/NCT05451069,NOT_YET_RECRUITING,Multiple Sclerosis,"DIAGNOSTIC_TEST: Neurofilament Light Chain ,Chitinase-3 Like-1 Protein Levels and Tolerogenic plasmacytoid Dendritic Cells",Assiut University,,OBSERVATIONAL,2025-07-27
NCT00107211,Vaccine Therapy in Treating Patients Who Are Undergoing Surgery for Ductal Carcinoma In Situ of the Breast,https://clinicaltrials.gov/study/NCT00107211,COMPLETED,Breast Cancer,BIOLOGICAL: therapeutic autologous dendritic cells|PROCEDURE: conventional surgery|PROCEDURE: neoadjuvant therapy,Abramson Cancer Center at Penn Medicine,National Cancer Institute (NCI),INTERVENTIONAL,2008-07
